id_profesor,dia,franja_inicio,franja_fin
Prof_1,lunes,1,15
Prof_1,miercoles,31,45
Prof_1,viernes,61,75
Prof_1,sabado,76,82
Prof_1,jueves,46,60
Prof_2,miercoles,31,45
Prof_2,lunes,1,15
Prof_2,sabado,76,82
Prof_2,jueves,46,60
Prof_3,viernes,61,75
Prof_3,martes,16,30
Prof_3,lunes,1,15
Prof_3,miercoles,31,45
Prof_3,jueves,46,60
Prof_4,miercoles,31,45
Prof_4,viernes,61,75
Prof_4,lunes,1,15
Prof_4,jueves,46,60
Prof_5,lunes,1,15
Prof_5,sabado,76,82
Prof_5,viernes,61,75
Prof_5,miercoles,31,45
Prof_5,jueves,46,60
Prof_6,sabado,76,82
Prof_6,viernes,61,75
Prof_6,martes,16,30
Prof_6,miercoles,31,45
Prof_6,jueves,46,60
Prof_7,viernes,61,75
Prof_7,lunes,1,15
Prof_7,martes,16,30
Prof_7,sabado,76,82
Prof_7,jueves,46,60
Prof_8,lunes,1,15
Prof_8,sabado,76,82
Prof_8,viernes,61,75
Prof_8,martes,16,30
Prof_8,jueves,46,60
Prof_9,miercoles,31,45
Prof_9,sabado,76,82
Prof_9,martes,16,30
Prof_9,jueves,46,60
Prof_10,lunes,1,15
Prof_10,miercoles,31,45
Prof_10,sabado,76,82
Prof_10,martes,16,30
Prof_10,jueves,46,60
Prof_11,lunes,1,15
Prof_11,sabado,76,82
Prof_11,viernes,61,75
Prof_11,jueves,46,60
Prof_12,martes,16,30
Prof_12,lunes,1,15
Prof_12,viernes,61,75
Prof_12,jueves,46,60
Prof_13,miercoles,31,45
Prof_13,sabado,76,82
Prof_13,lunes,1,15
Prof_13,jueves,46,60
Prof_14,sabado,76,82
Prof_14,lunes,1,15
Prof_14,viernes,61,75
Prof_14,jueves,46,60
Prof_15,sabado,76,82
Prof_15,lunes,1,15
Prof_15,viernes,61,75
Prof_15,martes,16,30
Prof_15,jueves,46,60
